# timestamp is yyyymmddHHDD (year, month, day, hour, minute)
# precipitation is rainfall depth (mm) 
stn;time;rre150h0
AIG;2018071823;0.0
AIG;2018071900;0.0
AIG;2018071901;0.0
AIG;2018071902;1.5
AIG;2018071903;0.1
AIG;2018071904;0.0
AIG;2018071905;0.0
AIG;2018071906;0.0
AIG;2018071907;0.0
AIG;2018071908;0.0
AIG;2018071909;0.0
AIG;2018071910;0.0
AIG;2018071911;0.0
AIG;2018071912;0.0
AIG;2018071913;0.0
AIG;2018071914;0.0
AIG;2018071915;0.0
AIG;2018071916;0.0
AIG;2018071917;0.0
AIG;2018071918;0.0
AIG;2018071919;0.0
AIG;2018071920;0.0
AIG;2018071921;0.0
AIG;2018071922;0.0
AIG;2018071923;0.0
AIG;2018072000;0.0
AIG;2018072001;0.0
AIG;2018072002;0.0
AIG;2018072003;0.0
AIG;2018072004;0.0
AIG;2018072005;0.0
AIG;2018072006;0.0
AIG;2018072007;0.0
AIG;2018072008;0.0
AIG;2018072009;0.0
AIG;2018072010;0.0
AIG;2018072011;0.0
AIG;2018072012;0.0
AIG;2018072013;0.0
AIG;2018072014;0.0
AIG;2018072015;0.0
AIG;2018072016;0.0
AIG;2018072017;0.5
AIG;2018072018;5.3
AIG;2018072019;1.8
AIG;2018072020;3.9
AIG;2018072021;0.4
AIG;2018072022;0.1
AIG;2018072023;0.0
AIG;2018072100;0.0
AIG;2018072101;0.0
AIG;2018072102;0.0
AIG;2018072103;0.0
AIG;2018072104;0.0
AIG;2018072105;0.0
AIG;2018072106;0.0
AIG;2018072107;0.0
AIG;2018072108;0.0
AIG;2018072109;0.0
AIG;2018072110;0.0
AIG;2018072111;0.1
AIG;2018072112;0.1
AIG;2018072113;0.0
AIG;2018072114;0.0
AIG;2018072115;0.0
AIG;2018072116;0.0
AIG;2018072117;2.0
AIG;2018072118;0.1
AIG;2018072119;0.0
AIG;2018072120;0.0
AIG;2018072121;0.0
AIG;2018072122;0.0
AIG;2018072123;0.0
AIG;2018072200;0.0
AIG;2018072201;0.0
AIG;2018072202;0.0
AIG;2018072203;0.0
AIG;2018072204;0.0
AIG;2018072205;0.0
AIG;2018072206;0.0
AIG;2018072207;0.0
AIG;2018072208;0.0
AIG;2018072209;0.0
AIG;2018072210;0.0
AIG;2018072211;0.0
AIG;2018072212;0.0
AIG;2018072213;0.0
AIG;2018072214;0.0
AIG;2018072215;0.0
AIG;2018072216;0.0
AIG;2018072217;0.0
AIG;2018072218;0.0
AIG;2018072219;0.0
AIG;2018072220;0.0
AIG;2018072221;0.0
